Book|Page|Subject|Predicate|Object
Game Of Thrones|48|Sansa|knows how to|dress
Game Of Thrones|49|Arya|has named her pup|Lady
Game Of Thrones|49|Sansa|has a room in|Great Keep
Game Of Thrones|49|Bran|looks as though he had belted on|a featherbed
Game Of Thrones|49|Theon Greyjoy|has black doublet emblazoned with|golden kraken of his House
Game Of Thrones|51|Joffrey|is a|prince
Game Of Thrones|51|Robb|is a|prince
Game Of Thrones|51|Robb|killed a man at|twelve
Game Of Thrones|51|Arya|is a|girl
Game Of Thrones|51|Arya|thinks|"it’s not fair!)
      (Nothing is fair"
Game Of Thrones|51|Ser Rodrik|trains|knights
Game Of Thrones|51|The burned man|looks at|Robb
Game Of Thrones|51|Jon|is a|man
Game Of Thrones|52|Septa Mordane|is waiting in|her room
Game Of Thrones|52|Septa Mordane|is waiting in|Septa Mordane’s room
Game Of Thrones|52|Septa Mordane|is waiting for|Jon
Game Of Thrones|53|Bran|is going|south
Game Of Thrones|53|Bran|is a|knight
Game Of Thrones|53|Bran|belongs to the|Kingsguard
Game Of Thrones|55|Bran|is lord of|castle
Game Of Thrones|55|Winterfell|taught secrets to|Bran
Game Of Thrones|55|Winterfell|has hills and valleys behind|walls
Game Of Thrones|55|Winterfell|has covered bridge from rookery|4th floor to second floor
Game Of Thrones|55|Maester Luwin|doesn’t know that about north gate|tunnel in stone
Game Of Thrones|56|Bran|likes to climb|structures
Game Of Thrones|56|Bran|afraid to go on|Bran's favorite way to get to the broken tower
Game Of Thrones|56|Bran|is at|First Keep
Game Of Thrones|56|Woman voice|danger|First Keep
Game Of Thrones|56|Man voice|does not want to be|Hand of Robert
Game Of Thrones|57|Bran|tried to lower himself toward|narrow ledge beneath the window
Game Of Thrones|57|Bran|studies|ledge
Game Of Thrones|57|Lady Arryn|is a|frightened cow
Game Of Thrones|57|Lady Arryn|is not loved by|Robert
Game Of Thrones|57|Mothers|birthing does something to your minds|they are all mad
Game Of Thrones|58|Stark|is in love with|sister
Game Of Thrones|58|Stark|pushed|up against a wall
Game Of Thrones|58|Stark|had a hand down between her legs|and was hurting her there
Game Of Thrones|59|Bran|started to slip|fingers
Game Of Thrones|60|Tyrion Lannister|plays|mandolin
Game Of Thrones|61|Sandor|is a|body guard
Game Of Thrones|61|Tyrion|laughed|when his body guard did this mummer's farce
Game Of Thrones|62|Cersei|studies|Tyrion
Game Of Thrones|63|Jaime Lannister|says about Bran that the maester said they closed the window once to shut out the noise and Bran seemed to weaken. When they opened it again|his heartbeat stronger
Game Of Thrones|65|Jon|climbed the steps|slowly
Game Of Thrones|65|Jon|apologized|for coming before
Game Of Thrones|69|Daenerys Targaryen|wed|Khal Drogo
Game Of Thrones|69|Illyrio|offered his sword to|Daenerys
Game Of Thrones|69|Jorah Mormont|traveled as far east as|Vaes Dothrak
Game Of Thrones|70|Dany|is seated beside|Khal Drogo
Game Of Thrones|70|Viserys|is angry about being seated beneath|Dany
Game Of Thrones|71|Dany|is afraid of|Dothraki
Game Of Thrones|72|Illyrio|selected|Dany
Game Of Thrones|72|Illyrio|murmurs command|slaves
Game Of Thrones|72|Jhiqui|teaches|Dothraki tongue
Game Of Thrones|72|Doreah|instructs|womanly arts
Game Of Thrones|72|Jorah|apologizes for|gift
Game Of Thrones|72|Jorah|lays down|books
Game Of Thrones|72|Khal Drogo|offers|weapons
Game Of Thrones|72|Haggo|great leather whip|silver handle
Game Of Thrones|73|Illyrio said|Silver for the silver of your hair|the khal says
Game Of Thrones|75|Khal Drogo|sat with|legs crossed
Game Of Thrones|75|Khal Drogo|began to touch|her
Game Of Thrones|75|Khal Drogo|held her hand|in own
Game Of Thrones|75|Khal Drogo|ran a hand|gently down leg
Game Of Thrones|75|Khal Drogo|stroked|soft skin underneath until it tingled
Game Of Thrones|76|Robert Baratheon|is a|king
Game Of Thrones|76|Ned Stark|is a|knight
Game Of Thrones|76|Alyn|is a|guard
Game Of Thrones|76|Ser Boros|is a|knight
Game Of Thrones|76|Ser Meryn|is a|knight
Game Of Thrones|78|Rhaegar's|little girl|cried
Game Of Thrones|79|Ned|promises|not cross
Game Of Thrones|79|Robert Arryn|does not wish to be|Warden of East
Game Of Thrones|79|Stannis Baratheon|proved himself at|siege of Storm's End
Game Of Thrones|80|Targaryen|was killed|in battle
Game Of Thrones|80|Rhaegar|was killed|in battle
Game Of Thrones|80|Lannister|seized|by traitors
Game Of Thrones|81|Robert|is the king of|Westeros
Game Of Thrones|81|Jaime|sat on|Robert's throne
Game Of Thrones|82|Benjen Stark|joined up with|another black brother
Game Of Thrones|82|Unknown|left Winterfell on the same day as the king|riding out to the sound of men shouting and horses snorting
Game Of Thrones|82|Unknown|turned south|taking the tumult w
Game Of Thrones|85|Tyrion Lannister|has a mind that is too large|for his body
Game Of Thrones|85|Tyrion Lannister|needs books as|his sword's whetstone
Game Of Thrones|86|Jon Snow|is smart|to not believe in noble callings
Game Of Thrones|86|Tyrion Lannister|is a misfit|of realm
Game Of Thrones|88|Catelyn|is a|lady
Game Of Thrones|89|Catelyn|is a|mother
Game Of Thrones|89|Robb|needs|mother
Game Of Thrones|89|Bran|needs|mother
Game Of Thrones|89|Rickon|needs|mother
Game Of Thrones|89|Ned|is a|father
Game Of Thrones|90|Catelyn|was in|room
Game Of Thrones|90|man|was in|room
Game Of Thrones|90|man|clamped down on|Catelyn’s mouth
Game Of Thrones|90|man|brought knife up to|Catelyn’s windpipe
Game Of Thrones|90|Fire|is burning|Library tower
Game Of Thrones|91|Catelyn|is mother of|Robb
Game Of Thrones|91|Robb|is son of|Catelyn
Game Of Thrones|91|Theon Greyjoy|is ward of|Catelyn
Game Of Thrones|92|Hallis Mollen|said|that someone is afraid Bran might wake up
Game Of Thrones|92|Bran|is the son of|Robb Stark
Game Of Thrones|93|Robb|is the master of|Winterfell
Game Of Thrones|93|Theon Greyjoy|swears that he believes Lord Arryn|the Hand of the King was murdered by the Lannisters
Game Of Thrones|94|Catelyn Stark|is going to|King's Landing
Game Of Thrones|94|Robb Stark|is going to|King's Landing
Game Of Thrones|94|Theon Greyjoy|is going to|King's Landing
Game Of Thrones|96|Arya|counts|flowers
Game Of Thrones|96|Sansa|shuddered|at
Game Of Thrones|97|Sansa|is a|sister
Game Of Thrones|97|Sansa|is a|squire
Game Of Thrones|97|Sansa|knows about the sorts of people|Arya likes to talk to
Game Of Thrones|97|Mycah|sleeps in|meat wagon
Game Of Thrones|97|Arya|chased|Nymeria
Game Of Thrones|97|Nymeria|wriggled free|and bounded off
Game Of Thrones|98|Sansa|was born only two years apart|is different
Game Of Thrones|98|Sansa|looks like Jon Starks|but nothing of their lady mother in her face or her coloring
Game Of Thrones|99|Sandor Clegane|is a|Hound
Game Of Thrones|99|Sandor Clegane|has|burned face
Game Of Thrones|99|Ser Ilyn Payne|is a|stranger knight
Game Of Thrones|99|Joffrey Baratheon|looks at|Sansa
Game Of Thrones|99|Ser Joffrey Baratheon|is a|prince
Game Of Thrones|99|Ser Ser Barristan Selmy|is a|member of the Kingsguard
Game Of Thrones|101|Joffrey|rides|blood bay courser
Game Of Thrones|101|Joffrey|sang for|Sansa
Game Of Thrones|101|Joffrey|is the son of|Robert Baratheon
Game Of Thrones|101|Joffrey|was betrothed to|Cersei Lannister
Game Of Thrones|101|Joffrey|has a sword called|Lion's Tooth
Game Of Thrones|101|Sansa|rides|mare
Game Of Thrones|103|Joffrey|is the number 1 producer of|gold
Game Of Thrones|103|Sansa|knelt beside|prince Joffrey
Game Of Thrones|103|Arya|scooped up a rock and hurled it at|Joffrey’s head
Game Of Thrones|105|Ned|demands|daughter
Game Of Thrones|105|Ned|speaks|Cersei Lannister
Game Of Thrones|105|Arya|attacked|Joffrey
Game Of Thrones|105|Arya|says|lion's tooth
Game Of Thrones|106|Ned|heard|her version of the story
Game Of Thrones|106|Sansa|was the number 1 producer of|gold
Game Of Thrones|107|Ned Stark|is the father of|Sansa Stark
Game Of Thrones|107|Ned Stark|affirmed|all that way for burying at Winterfell
Game Of Thrones|107|Sansa Stark|is the daughter of|Ned Stark
Game Of Thrones|107|Sansa Stark|is small of the litter|prettiest and most gentle of the litter
Game Of Thrones|107|Jory|will take|body north
Game Of Thrones|107|Ice|was brought to|Ned Stark
Game Of Thrones|108|Ned|rode down|Mycah
Game Of Thrones|109|Bran|has been falling|forever
Game Of Thrones|109|Bran|reaches into|pocket
Game Of Thrones|109|Bran|pulls|corn
Game Of Thrones|109|Bran|sees|mountains
Game Of Thrones|109|Crow|is a|bird
Game Of Thrones|110|(Maester Luwin|studies the sky through|polished bronze tube
Game Of Thrones|110|Hodor|carries an anvil to Mikken’s forge|hefting it onto his shoulder as easily as another man might heft a bale of hay
Game Of Thrones|111|Bran Stark|was afraid|of flying
Game Of Thrones|112|Bran|has a yellow eyes|like sun
Game Of Thrones|112|Bran|is the brother of|Robb
Game Of Thrones|112|Bran|has a direwolf named|Summer
Game Of Thrones|112|Rob|burst into the room|breathless
Game Of Thrones|113|Moreo Tur|is a captain of|trading galleys
Game Of Thrones|115|Moreo|is a|king’s man
Game Of Thrones|116|Catelyn Stark|was the one who paid|oarmen
Game Of Thrones|118|Catelyn Stark|has informants everywhere|in Little birds
Game Of Thrones|119|Varys|knows things|"no one could possibly know unless ""What dagger are we talking about?"""
Game Of Thrones|120|Catelyn|demanded|her mouth
Game Of Thrones|120|Littlefinger|said|the Imp
Game Of Thrones|120|Lord Varys|watched|Catelyn's face
Game Of Thrones|120|Chinese|slaves|built
Game Of Thrones|121|Jon|has fought against|Ser Alliser Thorne
Game Of Thrones|121|Ser Alliser Thorne|hates|Jon
Game Of Thrones|122|Jon Snow|is a member of|Night's Watch
Game Of Thrones|122|Benjen Stark|is First Ranger|Night's Watch
Game Of Thrones|122|Tyrion Lannister|gave him|truth on the road north
Game Of Thrones|123|Grenn|is in|Castle Black
Game Of Thrones|123|Grenn|is a|recruit
Game Of Thrones|123|Toad|has an unpleasant|voice
Game Of Thrones|123|Jon Snow|fights against|Toad
Game Of Thrones|123|Jon Snow|slams the head of|Toad against the packed earth
Game Of Thrones|124|Stark|is a|high lord's bastard
Game Of Thrones|124|Jeren|is a|septon's get
Game Of Thrones|125|Donal Noye|fought|Jon Snow
Game Of Thrones|125|Jon Snow|is better than|his brothers
Game Of Thrones|125|Baratheon|fought|Jon Snow
Game Of Thrones|128|Jeor Mormont|is Lord Commander of|Night's Watch
Game Of Thrones|128|Bran|has something happened to|him
Game Of Thrones|128|Alliser Thorne|wants to see|Jon
Game Of Thrones|129|Mormont|drew a roll|paper from his belt and handed it to Jon
Game Of Thrones|130|Ned|has come striding into|council chambers
Game Of Thrones|130|Renly|is|Lord
Game Of Thrones|130|Eddard|accosts|Varys
Game Of Thrones|131|Littlefinger|knows|Brandon
Game Of Thrones|131|Littlefinger|speaks of|heat
Game Of Thrones|131|Renly|wears|green velvet
Game Of Thrones|131|Renly|embroidered|golden stags
Game Of Thrones|131|Renly|fastened|emerald brooch
Game Of Thrones|131|Ned|knows|Littlefinger
Game Of Thrones|131|Ned|replied with heat|Brandon
Game Of Thrones|131|Starks|all made of ice|melt when ride below Neck
Game Of Thrones|131|Grand Maester|serves at pleasure|Lord Stark
Game Of Thrones|131|Varys|serves at pleasure|Lord Stark
Game Of Thrones|132|Lord Stannis|rode|Dragonstone
Game Of Thrones|132|Ned|suggests|wait for Ser Barristan and the king to join us
Game Of Thrones|132|Ned|stunned|claims that Crown is three million gold pieces in debt
Game Of Thrones|132|Renly Baratheon|laughed|long sit
Game Of Thrones|132|Lord Renly|instructs|stage a great tournament in honor of his appointment as the Hand of the King
Game Of Thrones|132|Lord Renly|sighs|ninety thousand gold pieces
Game Of Thrones|132|Grand Maester Pycelle|asked|will treasury bear expense?
Game Of Thrones|132|Varys|says|Crown i
Game Of Thrones|133|Starks and their household|rides ahead of|main column
Game Of Thrones|133|Robert|is traveling in|huge wheelhouse
Game Of Thrones|133|Sansa|blamed|Arya
Game Of Thrones|133|Arya|is lost after|hearing what happened to her butcher's boy
Game Of Thrones|133|Littlefinger|says|he is leading to the dungeons to slit his throat and seal his corpse up behind a wall
Game Of Thrones|135|Littlefinger|owns|brothel
Game Of Thrones|135|Littlefinger|arranged to meet|Catelyn Tully
Game Of Thrones|135|Catelyn Tully|was given|blade
Game Of Thrones|136|Sansa|is the daughter of|Eddard Stark
Game Of Thrones|136|Littlefinger|advises|Eddard Stark
Game Of Thrones|137|Ned|orders Helman Tallhart and Galbart Glover to raise|bowmen
Game Of Thrones|139|Lord Mormont|grumbled|stableboys
Game Of Thrones|139|Ser Alliser Knight|fought bravely|King’s Landing
Game Of Thrones|139|Bowen Marsh|filled|Tyrion’s cup
Game Of Thrones|139|Aemon|maester’s collar|links of many metals
Game Of Thrones|140|Mormont|is a|Lord
Game Of Thrones|142|Tyrion|walked toward|Wall
Game Of Thrones|142|Tyrion|climbed inside|cage
Game Of Thrones|142|world|windswept hills|rocky fields spotted with snow
Game Of Thrones|142|cage jerked to a sudden stop and hung there|swinging slowly back and forth|ropes creaking
Game Of Thrones|143|Tyrion|was captured by|a whim
Game Of Thrones|143|Jon Snow|carries|a heavy spear
Game Of Thrones|144|Jon Snow|is a|member of Night's Watch
Game Of Thrones|144|Tyrion Lannister|has a|bare hand
Game Of Thrones|144|Bran Stark|is a|cripple
Game Of Thrones|145|Night's Watch|permitted|forest to come no closer than half a mile of north face of Wall
Game Of Thrones|145|Tyrion Lannister|feels as though he could almost believe the talk of|Others
Game Of Thrones|145|Jon Snow|Uncle Benjen will ride back tonight|see him first and blow horn
Game Of Thrones|146|Ned Stark|is a|guard
Game Of Thrones|146|Jory|is a|guard
Game Of Thrones|146|Arya Stark|is a|girl
Game Of Thrones|146|Sansa Stark|is a|girl
Game Of Thrones|147|Arya|missed her|brothers
Game Of Thrones|147|Arya|would have teased|Bran
Game Of Thrones|147|Arya|played with|baby Rickon
Game Of Thrones|147|Arya|wanted Jon to muss up|hair and call her “little sister”
Game Of Thrones|147|Arya|would have eaten alone|in bedchamber
Game Of Thrones|147|Arya|used to eat with men at table|but now hated sounds of their voices
Game Of Thrones|148|Arya|likes best about|bedchamber
Game Of Thrones|148|Arya|went to|chest
Game Of Thrones|148|Arya|opened the lid|and began pulling her clothes out of chest
Game Of Thrones|148|Arya|heard a pounding at her door|louder than before
Game Of Thrones|148|Arya|spun around|with Needle in hand
Game Of Thrones|149|Arya|has a|sword
Game Of Thrones|149|Arya|is the daughter of|Lord Eddard Stark
Game Of Thrones|149|Lord Eddard Stark|named his daughter|Arya
Game Of Thrones|150|Arya Stark|hates|The Hound
Game Of Thrones|150|Arya Stark|hates|Septa Mordane
Game Of Thrones|150|Arya Stark|hates|Sansa Stark
Game Of Thrones|151|Arya|is given a|wooden sword
Game Of Thrones|151|Septa Mordane|peered at|Arya suspiciously
Game Of Thrones|152|Syrio Forel|first sword to the Sealord of Braavos|calls her boy
Game Of Thrones|152|Arya|is a girl|says boy
Game Of Thrones|153|Dothraki|is a|sea
Game Of Thrones|155|Dany|comes to each country fresh and unspoiled|as she rides at the head of the khalasar
Game Of Thrones|155|Dany|for half a moon|rode through the Forest of Qohor
Game Of Thrones|156|Dany|does not wish|Viserys harmed
Game Of Thrones|157|Jorah|rides|horse
Game Of Thrones|157|Dany|rides|horse
Game Of Thrones|158|Dany|has the property of|dragons
Game Of Thrones|159|Manticores|infest|jungles
Game Of Thrones|159|Basilisks|infest|jungles
Game Of Thrones|160|Jhiqui|brushed the soft swell of|Dany's stomach
Game Of Thrones|161|Bran|is a|character
Game Of Thrones|161|Old Nan|is a|character
Game Of Thrones|162|Bran|is a|boy
Game Of Thrones|162|Bran|hates|stories
Game Of Thrones|162|Bran|knows the story of|Brandon the Builder but it has never been his favorite
Game Of Thrones|162|Old Nan|told a story about|Brandon the Builder
Game Of Thrones|162|Robb|has more time for|Hallis Mollen and Theon Greyjoy than he ever did for his brothers
Game Of Thrones|163|Old Nan|tells a story about|the Others
Game Of Thrones|163|Bran|is listening to a story about|the Others
Game Of Thrones|163|Tyrion Lannister|some men of the Night's Watch|with word from Jon Snow
Game Of Thrones|165|Robb Stark|asked it of|Tyrion Lannister
Game Of Thrones|165|Tyrion Lannister|has a tender spot in his heart for|cripples and bastards and broken things
Game Of Thrones|166|Theon Greyioy|commented on|Lannister
Game Of Thrones|166|Robb Stark|prepared|rooms
Game Of Thrones|167|Bran|is climbing|an ancient windowless tower
Game Of Thrones|167|Hodor|washed sweat from|Bran
Game Of Thrones|168|Stark|is the uncle of|Robb Stark
Game Of Thrones|169|Pycelle|was not feeling well|but he refused to let that stop him from sharing stories with Ned
Game Of Thrones|170|Pycelle|Grand Maester|of Seven Kingdoms
Game Of Thrones|170|Jon Arryn|came to|Pycelle
Game Of Thrones|171|Pycelle|gave|tourney
Game Of Thrones|171|Arryn|died of|a sudden illness
Game Of Thrones|171|Lys|was born a slave in|Varys
Game Of Thrones|173|Lord Arryn|has a|pregnant kitchen girl
Game Of Thrones|173|Kitchen girl|hastily wed to|one of Lord Renly’s grooms
Game Of Thrones|173|Ser Hugh of the Vale|king knighted by|the king after Lord Arryn’s death
Game Of Thrones|174|Littlefinger|enjoys a fine view of|door to Red Keep
Game Of Thrones|174|Littlefinger|is less than certain about|Eddard Stark
Game Of Thrones|174|Littlefinger|has a delightful palace in|Valyria that he would dearly love to sell you
Game Of Thrones|175|Jon|shows|Dareon
Game Of Thrones|176|Halder|is in love|with Jon Snow
Game Of Thrones|176|Grenn|fights with|Halder
Game Of Thrones|176|Rast|helps|Stone Head
Game Of Thrones|177|Samwell Tarly|was of|Horn Hill
Game Of Thrones|177|Samwell Tarly|is a|coward
Game Of Thrones|177|Samwell Tarly|used to be the heir to|Lord Randyll
Game Of Thrones|178|Grenn|is a|black brother
Game Of Thrones|178|Grenn|said|nobody likes cravens
Game Of Thrones|178|Grenn|said|I wish we hadn’t helped him
Game Of Thrones|178|Pyp|told him|you're too stupid to be craven
Game Of Thrones|178|Jon|is a|black brother
Game Of Thrones|180|Jon Snow|has a dream|about Winterfell
Game Of Thrones|180|Samwell Tarly|was a coward|found himself on the Wall
Game Of Thrones|181|Heartsbane|is named|Heartsbane
Game Of Thrones|181|loves to make his own songs|to wear soft velvets|to drink rich smells
Game Of Thrones|181|is a|fifteenth name day awakened|and horse saddled
Game Of Thrones|183|Samwell Tarly|is a|clumsy person
Game Of Thrones|183|Samwell Tarly|visited|Jon Snow
Game Of Thrones|186|Jon Arryn|is a|Lord
Game Of Thrones|186|Jon Arryn|visited a brothel with|Stannis Baratheon
Game Of Thrones|186|Stannis Baratheon|is afraid of|what?
Game Of Thrones|187|Renly|looks like|Robert
Game Of Thrones|187|Renly|plays|mandolin
Game Of Thrones|187|Margaery|looks like|Lyanna
Game Of Thrones|187|Alyn|knows the way to|armorer's house
Game Of Thrones|187|Jory|is a|potboy
Game Of Thrones|188|Lord Beric|is a|lord
Game Of Thrones|188|Lord Beric|is there to fight in|Hand’s tourney
Game Of Thrones|188|Ned|left his horse with|Jacks
Game Of Thrones|188|Tobho Mott|is the master of|forge
Game Of Thrones|189|Gendry|works in|barn
Game Of Thrones|189|king's brother|asked|for
Game Of Thrones|189|Helm|shaped like|bull's head
Game Of Thrones|189|raw steel|unpolished|expertly shaped
Game Of Thrones|190|Gendry|is an apprentice of|Tobho Mott
Game Of Thrones|190|Tobho Mott|paid Gendry's apprentice fee|in gold
Game Of Thrones|192|Catelyn|is a|lady
Game Of Thrones|192|Catelyn|was traveling with|her father
Game Of Thrones|192|Lord Hoster Tully|owned an|inn at the crossroads up ahead
Game Of Thrones|192|Masha Heddle|served sweet cakes that were|soaked with honey
Game Of Thrones|192|Masha Heddle|had|bloody horror smiles
Game Of Thrones|192|Masha Heddle|chewed|sourleaf night and day
Game Of Thrones|193|Masha Heddle|gives|rooms
Game Of Thrones|195|Catelyn|took|arm
Game Of Thrones|195|Masha Heddle|serves beer from|kegs
Game Of Thrones|195|three by the fire|wear|Brackens red stallion badge
Game Of Thrones|195|senior among them|no older than|Bran
Game Of Thrones|195|handsome youth|fingering|woodharp
Game Of Thrones|195|young man of eighteen years|lost all betting on|Kinslayer
